Orlando,Memphis,time_rem
19-44,32-30,48M 0S
0,2,47M 48S
1,2,47M 32S
1,4,47M 10S
1,7,46M 48S
1,10,46M 22S
3,10,46M 4S
6,10,45M 53S
8,10,45M 29S
8,11,44M 32S
9,11,44M 18S
10,11,44M 18S
10,14,43M 41S
12,14,42M 16S
13,14,42M 16S
15,14,41M 37S
15,16,41M 27S
17,16,40M 55S
20,16,38M 54S
20,18,37M 57S
20,19,36M 48S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
22,19,35M 10S
24,19,34M 40S
24,21,34M 29S
25,21,34M 15S
26,21,34M 15S
26,23,33M 58S
26,24,33M 23S
26,25,33M 23S
28,25,33M 4S
30,25,32M 30S
33,25,32M 4S
Jump ball: M. Bamba vs. J. Valan훾i큰nas (G. Harris gains possession),NA,31M 37S
33,28,30M 40S
33,30,29M 50S
35,30,29M 32S
35,31,29M 23S
38,31,28M 16S
38,33,27M 48S
39,33,27M 29S
40,33,27M 29S
42,33,26M 53S
42,35,26M 5S
43,35,25M 14S
43,37,24M 52S
43,39,24M 28S
Jump ball: J. Valan훾i큰nas vs. M. Bamba (K. Anderson gains possession),NA,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
44,39,24M 0S
46,39,23M 22S
48,39,23M 1S
48,41,22M 33S
50,41,22M 5S
50,44,21M 49S
50,47,20M 17S
50,48,19M 43S
50,49,19M 43S
51,49,19M 29S
51,51,18M 49S
51,53,18M 16S
53,53,18M 3S
53,56,17M 29S
54,56,16M 38S
54,58,16M 25S
54,61,16M 8S
54,63,15M 40S
54,64,15M 40S
54,66,15M 20S
57,66,14M 41S
57,68,14M 22S
57,70,13M 54S
58,70,12M 39S
58,73,12M 31S
58,75,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
58,77,11M 36S
58,79,11M 12S
58,82,10M 43S
60,82,10M 5S
62,82,9M 33S
63,82,9M 12S
64,82,9M 12S
64,83,8M 57S
64,84,8M 57S
66,84,8M 20S
69,84,8M 0S
69,85,7M 44S
69,86,7M 44S
71,86,7M 8S
73,86,6M 26S
75,86,4M 41S
75,89,4M 26S
75,90,3M 15S
75,92,2M 46S
End of 4th quarter,NA,0S
