Portland,Sacramento,time_rem
5-4,4-6,48M 0S
0,0,47M 46S
2,0,47M 39S
3,0,46M 41S
4,0,46M 41S
6,0,46M 17S
6,3,45M 58S
6,6,45M 12S
9,6,44M 51S
9,8,44M 40S
12,8,44M 28S
14,8,44M 6S
16,8,43M 45S
19,8,43M 16S
19,11,42M 58S
22,11,42M 3S
24,11,41M 36S
24,14,40M 55S
24,16,40M 36S
25,16,40M 9S
26,16,40M 9S
26,18,39M 52S
28,18,39M 33S
30,18,38M 34S
32,18,38M 12S
33,18,37M 49S
34,18,37M 49S
34,19,37M 35S
34,20,37M 35S
34,21,37M 10S
34,22,37M 10S
34,24,36M 51S
35,24,36M 29S
36,24,36M 29S
37,24,36M 3S
38,24,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
38,25,35M 30S
38,27,34M 55S
40,27,34M 34S
40,30,34M 13S
42,30,33M 45S
42,32,33M 30S
42,35,32M 21S
44,35,31M 33S
46,35,30M 53S
48,35,30M 35S
48,36,30M 24S
50,36,30M 7S
50,38,29M 56S
51,38,29M 12S
52,38,29M 12S
54,38,28M 52S
56,38,28M 21S
56,40,28M 8S
56,42,27M 52S
58,42,27M 29S
58,44,27M 18S
61,44,26M 23S
63,44,25M 54S
63,45,25M 43S
66,45,25M 36S
66,46,25M 14S
66,47,25M 14S
66,49,24M 49S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
68,49,23M 21S
71,49,21M 45S
71,51,21M 30S
73,51,21M 16S
73,53,20M 34S
75,53,20M 17S
78,53,19M 47S
78,54,19M 37S
78,55,19M 37S
81,55,19M 10S
84,55,18M 45S
86,55,17M 40S
86,57,17M 19S
88,57,16M 50S
Jump ball: J. NurkiÄ‡ vs. H. Whiteside (D. Lillard gains possession),NA,16M 25S
88,59,15M 56S
88,61,15M 38S
88,63,14M 51S
88,64,14M 27S
91,64,13M 46S
91,65,13M 36S
91,67,13M 0S
92,67,12M 14S
93,67,12M 14S
93,69,12M 4S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
93,71,11M 51S
93,72,11M 51S
95,72,11M 38S
95,75,10M 57S
95,76,10M 13S
95,78,9M 41S
96,78,9M 4S
97,78,9M 4S
98,78,9M 4S
101,78,8M 45S
102,78,8M 31S
103,78,8M 31S
105,78,8M 3S
105,80,6M 50S
107,80,6M 34S
108,80,6M 34S
108,81,5M 20S
108,82,4M 56S
108,83,4M 56S
111,83,4M 42S
111,85,4M 26S
114,85,3M 50S
114,86,3M 0S
114,87,3M 0S
117,87,2M 50S
117,88,2M 33S
117,89,2M 33S
117,90,2M 14S
119,90,2M 2S
119,91,1M 47S
122,91,1M 39S
122,93,1M 24S
122,96,1M 2S
125,96,46S
125,98,17S
125,99,17S
End of 4th quarter,NA,0S
